source,candidate,resolution,artifact_group,coverage_conditioned,mode,threshold,contract,images,valid_gt,scored_gt,tp,fp,fn,neutralized,f1
AI-TOD,Base-1280,1280,aitod_baseline_multires,True,absolute,24.0,A,1869,16900,16900,11578,7277,5322,0,0.647629702139561
AI-TOD,Base-1280,1280,aitod_baseline_multires,True,absolute,24.0,F,1869,16900,2033,1486,17369,547,0,0.14228265032554577
AI-TOD,Base-1280,1280,aitod_baseline_multires,True,absolute,24.0,R,1869,16900,2033,1486,6828,547,10541,0.2872330144003093
AI-TOD,Base-1280,1280,aitod_baseline_multires,True,absolute,24.0,S,1869,16900,2033,1486,6828,547,10541,0.2872330144003093
AI-TOD,Base-1280,1280,aitod_baseline_multires,True,normalized,0.015,A,1869,16900,16900,11578,7277,5322,0,0.647629702139561
AI-TOD,Base-1280,1280,aitod_baseline_multires,True,normalized,0.015,F,1869,16900,9353,6850,12005,2503,0,0.48567782189449804
AI-TOD,Base-1280,1280,aitod_baseline_multires,True,normalized,0.015,R,1869,16900,9353,6850,7347,2503,4658,0.5817409766454352
AI-TOD,Base-1280,1280,aitod_baseline_multires,True,normalized,0.015,S,1869,16900,9353,6850,7347,2503,4658,0.5817409766454352
AI-TOD,Base-640,640,aitod_baseline_multires,True,absolute,24.0,A,1869,16900,16900,10487,5215,6413,0,0.6433347647383596
AI-TOD,Base-640,640,aitod_baseline_multires,True,absolute,24.0,F,1869,16900,2033,1657,14045,376,0,0.18686213701719764
AI-TOD,Base-640,640,aitod_baseline_multires,True,absolute,24.0,R,1869,16900,2033,1657,5057,376,8988,0.3788727563736138
AI-TOD,Base-640,640,aitod_baseline_multires,True,absolute,24.0,S,1869,16900,2033,1657,5057,376,8988,0.3788727563736138
AI-TOD,Base-640,640,aitod_baseline_multires,True,normalized,0.015,A,1869,16900,16900,10487,5215,6413,0,0.6433347647383596
AI-TOD,Base-640,640,aitod_baseline_multires,True,normalized,0.015,F,1869,16900,9353,6878,8824,2475,0,0.5490321293155059
AI-TOD,Base-640,640,aitod_baseline_multires,True,normalized,0.015,R,1869,16900,9353,6878,5433,2475,3391,0.634970457902511
AI-TOD,Base-640,640,aitod_baseline_multires,True,normalized,0.015,S,1869,16900,9353,6878,5433,2475,3391,0.634970457902511
AI-TOD,Base-960,960,aitod_baseline_multires,True,absolute,24.0,A,1869,16900,16900,11789,6352,5111,0,0.6728689249736024
AI-TOD,Base-960,960,aitod_baseline_multires,True,absolute,24.0,F,1869,16900,2033,1638,16503,395,0,0.16238723108952116
