metric,mode,threshold,contract,candidate_a,candidate_b,point_a,point_b,point_difference,ci95_low,ci95_high,probability_a_gt_b,resampling_unit,sampling_units,common_images,replicates
F1@.25,absolute,24.0,S,visdrone_control_yolo11m_hf640,visdrone_control_asd1280,0.8926558095834638,0.8697195324254465,0.02293627715801727,0.018573118772142242,0.027350855514165415,1.0,image,548,548,10000
max-F1,absolute,24.0,S,visdrone_control_yolo11m_hf640,visdrone_control_asd1280,0.897940876656473,0.8816118839509213,0.01632899270555177,0.012223746078078404,0.02044551572764741,1.0,image,548,548,10000
AP50,absolute,24.0,S,visdrone_control_yolo11m_hf640,visdrone_control_asd1280,0.923065158163156,0.9217326077902102,0.0013325503729458843,-0.0034925173634598847,0.004445437915299338,0.6966,image,548,548,10000
F1@.25,normalized,0.015,S,visdrone_control_yolo11m_hf640,visdrone_control_asd1280,0.8830775311244319,0.867309973391466,0.015767557732965898,0.011664580563823709,0.01989363819898833,1.0,image,548,548,10000
max-F1,normalized,0.015,S,visdrone_control_yolo11m_hf640,visdrone_control_asd1280,0.8830775311244319,0.873206772023987,0.009870759100444881,0.0059558258767251435,0.013560724815374035,1.0,image,548,548,10000
AP50,normalized,0.015,S,visdrone_control_yolo11m_hf640,visdrone_control_asd1280,0.8986028417223055,0.9096266332737558,-0.01102379155145028,-0.016672203955644137,-0.007831931363896505,0.0,image,548,548,10000
F1@.25,absolute,24.0,S,visdrone_control_yolo11m_hf640,visdrone_control_asd1280,0.8926558095834638,0.8697195324254465,0.02293627715801727,0.01854814131045173,0.02750000900262084,1.0,sequence,76,548,10000
max-F1,absolute,24.0,S,visdrone_control_yolo11m_hf640,visdrone_control_asd1280,0.897940876656473,0.8816118839509213,0.01632899270555177,0.011888262475095227,0.02129484868182981,1.0,sequence,76,548,10000
AP50,absolute,24.0,S,visdrone_control_yolo11m_hf640,visdrone_control_asd1280,0.923065158163156,0.9217326077902102,0.0013325503729458843,-0.003287896336749452,0.005224667249987504,0.6794,sequence,76,548,10000
F1@.25,normalized,0.015,S,visdrone_control_yolo11m_hf640,visdrone_control_asd1280,0.8830775311244319,0.867309973391466,0.015767557732965898,0.011754110773935891,0.0200509452210789,1.0,sequence,76,548,10000
max-F1,normalized,0.015,S,visdrone_control_yolo11m_hf640,visdrone_control_asd1280,0.8830775311244319,0.873206772023987,0.009870759100444881,0.006004773637085051,0.014038257287938779,1.0,sequence,76,548,10000
AP50,normalized,0.015,S,visdrone_control_yolo11m_hf640,visdrone_control_asd1280,0.8986028417223055,0.9096266332737558,-0.01102379155145028,-0.018053588617291786,-0.005730656376801798,0.0,sequence,76,548,10000
