source,candidate,scale_mode,scale_threshold,small_object_policy,confidence,iou,matching,tp,fp,fn,neutralized_predictions,f1,images
visdrone,visdrone_control_asd1280,absolute,16.0,exclude_source_ignore_off,0.1,0.25,greedy_valid_gt_first_coco_crowd,13822,10849,787,0,0.7037678207739307,548
visdrone,visdrone_control_asd1280,absolute,16.0,exclude_source_ignore_off,0.1,0.5,greedy_valid_gt_first_coco_crowd,13479,11192,1130,0,0.6863034623217923,548
visdrone,visdrone_control_asd1280,absolute,16.0,exclude_source_ignore_off,0.15,0.25,greedy_valid_gt_first_coco_crowd,13516,7536,1093,0,0.7580269762485629,548
visdrone,visdrone_control_asd1280,absolute,16.0,exclude_source_ignore_off,0.15,0.5,greedy_valid_gt_first_coco_crowd,13237,7815,1372,0,0.7423796304085696,548
visdrone,visdrone_control_asd1280,absolute,16.0,exclude_source_ignore_off,0.2,0.25,greedy_valid_gt_first_coco_crowd,13250,5529,1359,0,0.7936983347310411,548
visdrone,visdrone_control_asd1280,absolute,16.0,exclude_source_ignore_off,0.2,0.5,greedy_valid_gt_first_coco_crowd,12993,5786,1616,0,0.7783035821253145,548
visdrone,visdrone_control_asd1280,absolute,16.0,exclude_source_ignore_off,0.25,0.25,greedy_valid_gt_first_coco_crowd,12968,4205,1641,0,0.8160594046944811,548
visdrone,visdrone_control_asd1280,absolute,16.0,exclude_source_ignore_off,0.25,0.5,greedy_valid_gt_first_coco_crowd,12751,4422,1858,0,0.8024038764080297,548
visdrone,visdrone_control_asd1280,absolute,16.0,exclude_source_ignore_off,0.3,0.25,greedy_valid_gt_first_coco_crowd,12659,3260,1950,0,0.829337002096436,548
visdrone,visdrone_control_asd1280,absolute,16.0,exclude_source_ignore_off,0.3,0.5,greedy_valid_gt_first_coco_crowd,12487,3432,2122,0,0.8180686582809225,548
visdrone,visdrone_control_asd1280,absolute,16.0,exclude_source_ignore_off,0.35,0.25,greedy_valid_gt_first_coco_crowd,12295,2542,2314,0,0.8350879576173335,548
visdrone,visdrone_control_asd1280,absolute,16.0,exclude_source_ignore_off,0.35,0.5,greedy_valid_gt_first_coco_crowd,12175,2662,2434,0,0.8269374448142363,548
visdrone,visdrone_control_asd1280,absolute,16.0,exclude_source_ignore_off,0.4,0.25,greedy_valid_gt_first_coco_crowd,11874,1939,2735,0,0.835549926113574,548
visdrone,visdrone_control_asd1280,absolute,16.0,exclude_source_ignore_off,0.4,0.5,greedy_valid_gt_first_coco_crowd,11774,2039,2835,0,0.8285131236366196,548
visdrone,visdrone_control_asd1280,absolute,16.0,exclude_source_ignore_off,0.5,0.25,greedy_valid_gt_first_coco_crowd,10920,1130,3689,0,0.8192355302149368,548
visdrone,visdrone_control_asd1280,absolute,16.0,exclude_source_ignore_off,0.5,0.5,greedy_valid_gt_first_coco_crowd,10882,1168,3727,0,0.8163847106042987,548
visdrone,visdrone_control_asd1280,absolute,16.0,exclude_source_ignore_on,0.1,0.25,greedy_valid_gt_first_coco_crowd,13822,9165,787,1684,0.7352909884030217,548
visdrone,visdrone_control_asd1280,absolute,16.0,exclude_source_ignore_on,0.1,0.5,greedy_valid_gt_first_coco_crowd,13479,9506,1130,1686,0.7170825131669948,548
visdrone,visdrone_control_asd1280,absolute,16.0,exclude_source_ignore_on,0.15,0.25,greedy_valid_gt_first_coco_crowd,13516,6453,1093,1083,0.7817687546995199,548
visdrone,visdrone_control_asd1280,absolute,16.0,exclude_source_ignore_on,0.15,0.5,greedy_valid_gt_first_coco_crowd,13237,6728,1372,1087,0.7657199051310233,548
visdrone,visdrone_control_asd1280,absolute,16.0,exclude_source_ignore_on,0.2,0.25,greedy_valid_gt_first_coco_crowd,13250,4794,1359,735,0.8115640216825406,548
visdrone,visdrone_control_asd1280,absolute,16.0,exclude_source_ignore_on,0.2,0.5,greedy_valid_gt_first_coco_crowd,12993,5048,1616,738,0.795895865237366,548
visdrone,visdrone_control_asd1280,absolute,16.0,exclude_source_ignore_on,0.25,0.25,greedy_valid_gt_first_coco_crowd,12968,3692,1641,513,0.829447695800953,548
visdrone,visdrone_control_asd1280,absolute,16.0,exclude_source_ignore_on,0.25,0.5,greedy_valid_gt_first_coco_crowd,12751,3907,1858,515,0.8156203025554098,548
visdrone,visdrone_control_asd1280,absolute,16.0,exclude_source_ignore_on,0.3,0.25,greedy_valid_gt_first_coco_crowd,12659,2882,1950,378,0.8397346600331675,548
visdrone,visdrone_control_asd1280,absolute,16.0,exclude_source_ignore_on,0.3,0.5,greedy_valid_gt_first_coco_crowd,12487,3053,2122,379,0.8283525158380046,548
visdrone,visdrone_control_asd1280,absolute,16.0,exclude_source_ignore_on,0.35,0.25,greedy_valid_gt_first_coco_crowd,12295,2260,2314,282,0.843162803456316,548
visdrone,visdrone_control_asd1280,absolute,16.0,exclude_source_ignore_on,0.35,0.5,greedy_valid_gt_first_coco_crowd,12175,2380,2434,282,0.8349334796324235,548
visdrone,visdrone_control_asd1280,absolute,16.0,exclude_source_ignore_on,0.4,0.25,greedy_valid_gt_first_coco_crowd,11874,1724,2735,215,0.8419186726699046,548
visdrone,visdrone_control_asd1280,absolute,16.0,exclude_source_ignore_on,0.4,0.5,greedy_valid_gt_first_coco_crowd,11774,1824,2835,215,0.8348282341262807,548
visdrone,visdrone_control_asd1280,absolute,16.0,exclude_source_ignore_on,0.5,0.25,greedy_valid_gt_first_coco_crowd,10920,1000,3689,130,0.8232500282709487,548
visdrone,visdrone_control_asd1280,absolute,16.0,exclude_source_ignore_on,0.5,0.5,greedy_valid_gt_first_coco_crowd,10882,1038,3727,130,0.8203852387952807,548
visdrone,visdrone_control_asd1280,absolute,16.0,include_all,0.1,0.25,greedy_valid_gt_first_coco_crowd,15606,9065,1434,0,0.7482918175061735,548
visdrone,visdrone_control_asd1280,absolute,16.0,include_all,0.1,0.5,greedy_valid_gt_first_coco_crowd,15080,9591,1960,0,0.7230706528253937,548
visdrone,visdrone_control_asd1280,absolute,16.0,include_all,0.15,0.25,greedy_valid_gt_first_coco_crowd,15140,5912,1900,0,0.7949175679932794,548
