candidate,short_candidate,rule_id,coordinate,threshold,stratifier,stratum,stratum_order,delta_target,delta_removed,delta_source,contract_range,images,scored_gt_terminal
visdrone_control_asd1280,ASD,absolute_max_side,absolute,24.0,density,dense,2,-0.0882748965304011,0.1131088156698915,0.012042842941578868,0.12515165861147037,181,7183
visdrone_control_asd1280,ASD,absolute_max_side,absolute,24.0,density,moderate,1,-0.06004586112457244,0.06645071613662978,0.024454291392402405,0.09090500752903219,180,3991
visdrone_control_asd1280,ASD,absolute_max_side,absolute,24.0,density,sparse,0,-0.054522502755576574,0.058406478497654124,0.01836444350559152,0.07677092200324565,187,1322
visdrone_control_asd1280,ASD,absolute_max_side,absolute,24.0,nearest_neighbor,crowded,0,-0.12437055752998416,0.15164059972430965,0.016562534005566176,0.16820313372987583,170,5100
visdrone_control_asd1280,ASD,absolute_max_side,absolute,24.0,nearest_neighbor,dispersed,2,-0.016481459077944627,0.019413893084607392,0.017155559862164327,0.03656945294677172,170,2665
visdrone_control_asd1280,ASD,absolute_max_side,absolute,24.0,nearest_neighbor,intermediate,1,-0.05663131953575107,0.0558694990766444,0.01633889029617963,0.07220838937282403,170,4723
visdrone_control_asd1280,ASD,absolute_max_side,absolute,24.0,occlusion,high,2,-0.07182836478100285,0.09181154835862215,0.012406625165281127,0.10421817352390328,172,5301
visdrone_control_asd1280,ASD,absolute_max_side,absolute,24.0,occlusion,low,0,-0.07492615781800427,0.08445782251469258,0.01606177332037495,0.10051959583506753,181,3286
visdrone_control_asd1280,ASD,absolute_max_side,absolute,24.0,occlusion,middle,1,-0.08287266118558867,0.10200162123303291,0.02272753344784173,0.12472915468087464,166,3909
visdrone_control_asd1280,ASD,absolute_max_side,absolute,24.0,target_size,large,2,-0.00534702657671382,0.0068624917893879145,0.0088789933265917,0.015741485115979614,168,3618
visdrone_control_asd1280,ASD,absolute_max_side,absolute,24.0,target_size,medium,1,-0.05255324328535005,0.05307530951123629,0.016504846629679215,0.0695801561409155,173,5037
visdrone_control_asd1280,ASD,absolute_max_side,absolute,24.0,target_size,small,0,-0.1643010684593723,0.19030919732787333,0.023368995175162555,0.21367819250303588,178,3841
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,density,dense,2,-0.0025904616176118944,0.026906180974486382,0.009702087815889993,0.036608268790376375,181,9080
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,density,moderate,1,-0.0013783486365760433,0.010129454078515843,0.021187321188396613,0.031316775266912455,180,4688
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,density,sparse,0,-0.0075102217418997474,0.011129717613910795,0.016147296475426454,0.027277014089337248,187,1529
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,nearest_neighbor,crowded,0,-0.006650635740017563,0.037847986299016645,0.012328100712935997,0.05017608701195264,170,7074
visdrone_control_asd1280,ASD,normalized_max_side,normalized,0.015,nearest_neighbor,dispersed,2,-0.0004282374189205074,0.0015110593930967031,0.01634019126155073,0.017851250654647433,170,2812
